category,top_keys
全球,"[('川普', 532), ('▪川普', 54), ('尹錫悅', 38), ('普亭', 31), ('澤倫斯基', 21), ('馬斯克', 21), ('威科夫', 20), ('尹錫', 14), ('貝森特', 12), ('林岱樺', 12), ('石破茂', 11), ('彭博', 11), ('德米崔耶夫', 11), ('毛澤東', 10), ('李成', 10), ('孫雯', 10), ('艾克曼', 9), ('湯普森', 9), ('塞夫柯維奇', 9), ('布朗', 9), ('凱洛格', 9), ('清崎', 8), ('塞拉沙', 8), ('王毅', 8), ('施凱爾', 8), ('泰勒', 8), ('帕帕羅', 8), ('凱恩', 8), ('馬家駿', 8), ('盧比歐', 7), ('習近平', 7), ('林劍', 7), ('布魯斯', 6), ('韓宗熙', 6), ('蘭格恩', 6), ('巴林傑', 6), ('克瑞布斯', 6), ('阿洛克', 6), ('亞德葛瑞', 6), ('石破茂通', 5), ('王世杰', 5), ('鮑爾', 5), ('費雷拉', 5), ('戴蒙', 5), ('梅爾茨', 5), ('卡列琳娜', 5), ('桑切斯', 5), ('張育成', 5), ('毛寧', 5), ('金哈克曼', 4), ('柯瑞斯汀', 4), ('さん', 4), ('范斯', 4), ('赫塞斯', 4), ('馬克宏', 4), ('莫迪', 4), ('邱男', 4), ('尤里爾', 4), ('諾帕吉', 4), ('大阪世博', 4), ('Fed', 4), ('吉爾', 4), ('彼卓夫', 4), ('哈賽亞', 4), ('凱莉', 4), ('赫格塞斯', 4), ('林弘文', 4), ('吉德敏', 4), ('佩斯科夫', 4), ('▪千金', 3), ('魏科夫', 3), ('魯拉', 3), ('日皇', 3), ('日星', 3), (' ▪', 3), ('悳洙', 3), ('朱肯米勒', 3), ('克里契科', 3), ('塞米昂', 3), (' ▪川普', 3), ('塞克斯', 3), ('萬博', 3), ('周三', 3), ('柯利', 3), ('努爾丁', 3), ('墨菲', 3), ('艾士特', 3), ('納瓦羅', 3), ('柯伯吉', 2), ('讓川普', 2), ('日皇德仁', 2), ('夏春', 2), ('卡關？川普', 2), ('高德柏格', 2), ('范德賴恩', 2), ('雷頓', 2), ('羅浩芳', 2), ('錫悅', 2), ('申鎮旭', 2), ('李尚信', 2), ('金正恩', 2), ('韓悳洙', 2), ('桑默斯', 2), ('布蘭德', 2), ('魯蕾', 2), ('路透', 2), ('夏夫', 2), ('pta', 2), ('Google Cloud', 2), ('馬庫斯', 2), ('希利', 2), ('哈瑪斯', 2), ('球星布朗', 2), ('Twitter', 2), ('沙爾夫（Charlie Scharf）', 2), ('沙爾夫', 2), ('普125%', 2), ('詩琳通', 2), ('普拉納斯', 2), ('巴傑帕伊', 2), ('韓莉', 2), ('艾速特', 2), ('周忠信', 2), ('釋煌智', 2), ('山本', 2), ('Instagram', 2), ('吉布斯', 2), ('阿洛', 2), ('f America', 2), ('lhurra', 2), ('布雷頓-戈登', 2), ('布雷頓', 2), ('own', 2), ('nstitute', 2), ('文哲凱', 2), ('Jake Werner', 2), ('希里（Bob Seely', 2), ('希里', 2), ('斯平克', 2), ('台積', 2), ('陶冬', 2), ('布什', 2), ('川普日', 2), ('皮特斯', 2), ('世博', 2), ('胡驍', 2), ('瓦爾茲', 1), ('柯伯', 1), ('傳普亭', 1), ('羅伯特', 1), ('傳普亭提', 1), ('索伯列夫', 1), ('歐布萊恩', 1), ('連科', 1), ('貝東塔', 1), ('2億多泰銖', 1), ('納塔彭', 1), ('普拉威', 1), ('戴克辛', 1), ('阿努廷', 1), ('拜登', 1), ('Truth Social', 1), ('狄恩', 1), ('卡爾森', 1), ('Tucker Carlson', 1), ('VladimirPutin', 1), ('培斯科夫', 1), ('▪千', 1), ('百萬', 1), ('德仁', 1), ('秋篠', 1), ('加巴德（Tulsi Gabbard', 1), ('倫斯基', 1), ('問世', 1), ('丹尼爾', 1), ('Signal', 1), ('葛林', 1), ('ちょっと', 1), ('日のことはわか', 1), ('じゃどさん', 1), ('烏沙．范斯', 1), ('艾格德', 1), ('．范斯', 1), ('洪格', 1), ('西西繆特', 1), ('成田、羽田', 1), ('達斯', 1), ('菁英', 1), ('拉沙', 1), ('AI', 1), ('羅達', 1), ('meric', 1), ('伏爾佩', 1), ('berg', 1), ('mei', 1), ('素提蓬', 1), ('胡錦濤', 1), ('塞勒', 1), ('塞勒斯', 1), ('魏聖洛', 1)]"
兩岸,"[('川普', 86), ('李成', 20), ('習近平', 17), ('陳斌華', 15), ('毛澤東', 14), ('李延賀', 12), ('亞馬遜', 12), ('馬章浩', 11), ('孟晚舟', 11), ('李強', 10), ('劉曉棕', 10), ('千千', 9), ('宋兆普', 8), ('張軍', 8), ('葉琳瑯', 8), ('林岱樺', 8), ('普拉伯沃', 8), ('桑切斯', 8), ('賴清德', 7), ('柯建銘', 7), ('赫塞斯', 7), ('李義虎', 6), ('鄭宗儀', 6), ('卓榮泰', 6), ('貝森特', 6), ('毛寧', 6), ('梁振英', 6), ('馬拉松', 6), ('蕭旭岑', 5), ('米倫', 5), ('金偉明', 5), ('陳菊', 5), ('周忠信', 5), ('吳思瑤', 4), ('鄭永年', 4), ('徐志濤', 4), ('傅崐萁', 4), ('鄭麗君', 4), ('柳允進', 4), ('鄭柵潔', 4), ('范斯', 4), ('邱男', 4), ('微博', 4), ('伯伯', 4), ('堯斌', 4), ('郭俊峯', 4), ('林弘文', 4), ('尤肖虎', 4), ('劉世芳', 3), ('輝達', 3), ('王鴻薇', 3), ('達斯', 3), ('胡錫', 3), ('東凡', 3), ('東風', 3), ('蔡正亮', 3), ('王曼莉', 3), ('梁齊昕', 3), ('徐樂堅', 3), ('齊昕', 3), ('黃秋生', 3), ('王莆中', 3), ('齊珊珊', 3), ('黃奇帆', 2), ('李開復', 2), ('蕭新煌', 2), ('何立峰', 2), ('王毅', 2), ('格林伯格', 2), ('沈伯洋', 2), ('黃捷', 2), ('陳柏源', 2), ('李嘉誠', 2), ('噶瑪澤登', 2), ('莎莉', 2), ('龔明鑫', 2), ('楊珍妮', 2), ('李慧芝', 2), ('王貴蓮', 2), ('羅智強', 2), ('黃國昌', 2), ('陳培瑜', 2), ('蔡旭哲', 2), ('宋令東', 2), ('王浩澤', 2), ('李男', 2), ('高虹安', 2), ('李豫雙', 2), ('近平', 2), ('尼科爾斯', 2), ('劉姥姥', 2), ('翁靜晶', 2), ('阿伯', 2), ('夏中林', 2), ('李向陽', 2), ('許廷澤', 2), ('馮德萊恩', 2), ('塞夫柯維奇', 2), ('王文濤', 2), ('董軍', 2), ('李碧華', 2), ('盧瑟', 2), ('傑西', 2), ('▪川普', 2), ('蔡英文', 2), ('蕭美琴', 2), ('林岱融', 2), ('釋煌智', 2), ('川普善', 2), ('綏靖', 2), ('普亭', 2), ('金湘軍', 2), ('孟晚', 2), ('周一鳴', 2), ('張敬懸', 2), ('趙揭宇', 2), ('莆中', 2), ('京東', 2), ('劉強東', 2), ('方洪波', 1), ('劉振亞', 1), ('奇帆', 1), ('彭森', 1), ('王鈺棟', 1), ('蕭良其', 1), ('蔡政府', 1), ('蔡司…', 1), ('葛里爾', 1), ('林達', 1), ('林俊言', 1), ('林俊廷', 1), ('曹興誠', 1), ('溫子瑜', 1), ('富察', 1), ('富察（李延賀', 1), ('貝萊德', 1), ('汪海洲', 1), ('十四世', 1), ('李稻葵', 1), ('千千萬萬', 1), ('卓揆', 1), ('張啓楷', 1), ('陳昭姿', 1), ('卓榮', 1), ('韓國', 1), ('樂法利', 1), ('中文網', 1), ('凌激', 1), ('劉英', 1), ('粗魯', 1), ('瀟湘晨', 1), ('科超', 1), ('Fireball', 1), ('白衣大媽', 1), ('郭雅慧', 1), ('弗利波斯', 1), ('咸宜', 1), ('童叟', 1), ('周二', 1), ('陳自訴', 1), ('陳思帆', 1), ('吳宗憲', 1), ('魏哲家', 1), ('彭博', 1), ('川普希', 1), ('CNBC', 1), ('Truth Social', 1), ('雨果', 1), ('小梁', 1), ('保爾．柯察金', 1), ('資麗萍', 1), ('影帝', 1), ('希望齊昕下一世', 1), ('杜汶澤', 1), ('付建', 1), ('嘉穎', 1), ('莊嘉穎', 1), ('王來春', 1), ('川普徵', 1), ('范長龍', 1), ('卜拉欣', 1), ('西哈莫尼', 1), ('法米法茲', 1), ('蘇通', 1), ('曼聯', 1), ('霍啟山', 1), ('布魯諾費爾', 1), ('梅西', 1), ('王馨', 1), ('蓋少華', 1), ('杜魯門', 1), ('毛寧發文', 1), ('文西', 1), ('李俊俋', 1), ('洪正威', 1), ('林三郎', 1), ('王姓弟媳', 1), ('孟姓', 1), ('東北虎', 1), ('瑟瑟', 1)]"
社會,"[('川普', 34), ('譚艾珍', 16), ('林岱樺', 16), ('貝森特', 12), ('齊惠生', 12), ('田朝益', 12), ('趙駿亞', 11), ('陳錫卿', 11), ('林弘文', 11), ('吳婉君', 10), ('郭男', 10), ('周忠信', 10), ('謝宜容', 9), ('呂金鎧', 9), ('陳男', 8), ('蔡學良', 8), ('毛畯珅', 8), ('秦偉', 8), ('林明佐', 7), ('陳政谷', 7), ('邱男', 7), ('許男', 6), ('孫福佑', 6), ('李男', 5), ('張男', 5), ('尤瑞敏', 5), ('姜男', 5), ('賴重宇', 5), ('釋煌智', 5), ('李振育', 4), ('陳文豪', 4), ('馬英九', 4), ('李丞齡', 4), ('楊男', 4), ('謝男', 4), ('呂姓', 4), ('張嘉恩', 4), ('黃偉軒', 4), ('林秉文', 4), ('郭哲敏', 4), ('劉煥榮', 4), ('蔡男', 4), ('許瑞弘', 3), ('李俊億', 3), ('林俊言', 3), ('吳宗憲', 3), ('徐錫祥', 3), ('柯文哲', 3), ('黎育爾', 3), ('林裕凱', 3), ('黃子佼', 3), ('李吳永勤', 3), ('東凡', 3), ('東風', 3), ('赫塞斯', 3), ('黃守達', 3), ('邱女', 3), ('簡男', 3), ('林岱融', 3), ('連亞溱', 3), ('麥克', 2), ('張安樂', 2), ('卓榮泰', 2), ('李慧芝', 2), ('趙男', 2), ('賴清德', 2), ('林男', 2), ('徐男', 2), ('沈慶京', 2), ('蔡正元', 2), ('許文章因', 2), ('許文章', 2), ('吳淡如', 2), ('葉君璋', 2), ('陳志杰', 2), ('蘇卡達', 2), ('蘇男', 2), ('魯蕾', 2), ('陳文政', 2), ('吳佩芸', 2), ('陳翁', 2), ('雅良', 2), ('鄭葆琳', 2), ('李承', 2), ('謝怡如', 2), ('温雅惠', 2), ('吳昇峰', 2), ('萬寶龍', 2), ('李姓', 2), ('黃男', 2), ('洪男', 2), ('齊麗生', 2), ('齊瑞生', 2), ('董桂森', 2), ('董桂均', 2), ('洪正威', 2), ('孟姓', 2), ('詹是', 2), ('嘉嘉', 2), ('許昭男', 2), ('田朝', 2), ('陳姓', 2), ('么么」黃少岑', 1), ('科長', 1), ('羅益培', 1), ('吳思瑤', 1), ('卓揆', 1), ('陳妍萩', 1), ('1980', 1), ('黎姓', 1), ('賴男', 1), ('黎男', 1), ('戴男所', 1), ('戴男', 1), ('陳女', 1), ('簡易', 1), ('張男明知', 1), ('黃景茂', 1), ('彭振聲', 1), ('邵琇珮', 1), ('翁曉玲', 1), ('王梅英', 1), ('陳財力', 1), ('李殷君', 1), ('曾淑華', 1), ('張哲琛', 1), ('汪海清', 1), ('洪菱霙', 1), ('洪信行', 1), ('明年', 1), ('張斗輝', 1), ('陳祥薇', 1), ('祥薇', 1), ('廖姓', 1), ('拜登', 1), ('林佳緯', 1), ('玉木朋孝', 1), ('謝庭', 1), ('鍾文智', 1), ('蔡名曜', 1), ('鄭永玉', 1), ('易科', 1), ('許男坦', 1), ('可易科', 1), ('郭雅慧', 1), ('鄭麗君', 1), ('彭博', 1), ('uhle', 1), ('欣中', 1), ('新光三越', 1), ('瓦斯', 1), ('林劍', 1), ('崔凡', 1), ('雨果', 1), ('魏哲家', 1), ('吳尚謙', 1), ('李正偉', 1), ('秦偉性', 1), ('錫卿', 1), ('陳不利', 1), ('20', 1), ('高院', 1), ('金鎧', 1), ('游雅良', 1), ('游雅良辯', 1), ('陳郁雯', 1), ('謝宗宏', 1), ('張姓', 1), ('武淵', 1), ('簡姓泥', 1), ('萬華區', 1), ('郭女', 1), ('0800-770-8', 1), ('王男', 1), ('黃榮德', 1), ('黃瓊慧', 1), ('林三郎', 1), ('王姓弟媳', 1), ('▪川普', 1), ('全恩菲', 1), ('全恩', 1), ('亞虎', 1), ('張啦🔥🔥🔥', 1), ('蕭富子', 1), ('蔡男見', 1), ('吳泰元', 1), ('游啓明', 1), ('0多歲', 1), ('彭男警', 1), ('林三郎名', 1)]"
地方,"[('川普', 34), ('貝森特', 12), ('黃奕薫', 10), ('黃敏惠', 9), ('林岱樺', 8), ('林孟諭', 8), ('蔣萬安', 7), ('鄧麗君', 7), ('賴清美', 6), ('吳郭魚', 6), ('黃奕薰', 6), ('張麗善', 6), ('柳采葳', 6), ('顏若芳', 6), ('陳宏宗', 6), ('李瑋哲', 6), ('侯友宜', 5), ('蘇瑞文', 5), ('張瑞琿', 5), ('黃建賓', 5), ('郭智輝', 5), ('周忠信', 5), ('陳菊', 5), ('李文良', 4), ('李丞齡', 4), ('陳淑芳', 4), ('侯彥隆', 4), ('林英煌', 4), ('張道周', 4), ('張修銘', 4), ('宋德仁', 4), ('趙怡翔', 4), ('張振錫', 4), ('林弘文', 4), ('張景森', 4), ('黃偉哲', 3), ('張錦豪', 3), ('鄭宇恩', 3), ('陳大田', 3), ('鍾東錦', 3), ('翁章梁', 3), ('何達煌', 3), ('米倫', 3), ('達斯', 3), ('李吳永勤', 3), ('白喬茵', 3), ('謝國樑', 3), ('劉博仁', 3), ('東凡', 3), ('東風', 3), ('孫福佑', 3), ('蔡正亮', 3), ('顏蔚慈', 3), ('黃清龍', 3), ('吳秀華', 3), ('Niau', 3), ('張善政', 2), ('李琪', 2), ('江慶崇', 2), ('陳雅馨', 2), ('吳書原', 2), ('王惠美', 2), ('莊嘉郁', 2), ('曾玟學', 2), ('徐彩瑜', 2), ('顏清標', 2), ('大甲媽祖', 2), ('葉君璋', 2), ('陳志杰', 2), ('吳嘉昌', 2), ('平子雄', 2), ('饒慶', 2), ('陳樹菊', 2), ('林陽晋', 2), ('沈暉勛', 2), ('汪令堯', 2), ('魯蕾', 2), ('李男', 2), ('大甲媽', 2), ('徐富癸', 2), ('楊文科', 2), ('朱淑敏', 2), ('葉向華', 2), ('陳慶堂', 2), ('黃奕勳', 2), ('王振銘', 2), ('王振名', 2), ('朱惕之', 2), ('王明鉅', 2), ('林彥甫', 2), ('許叙銘', 2), ('許燿宏', 2), ('李眉蓁', 2), ('許采蓁', 2), ('陳其邁', 2), ('陳宜', 2), ('鄭永陽', 2), ('大田', 2), ('俞振華', 2), ('達隆', 2), ('張瑞泰', 2), ('許素絹', 2), ('許雪珠', 2), ('李春季', 2), ('張文彥', 2), ('何俊昇', 2), ('涂敏群', 2), ('莊孝盛', 2), ('林玉嫦', 2), ('陳睿生', 2), ('黃錦昌', 2), ('盧秀燕', 2), ('周春米', 2), ('董森堡', 2), ('林炎田', 2), ('黃彥毓', 2), ('陳淑雯', 2), ('謝嘉銘', 2), ('林岱融', 2), ('釋煌智', 2), ('蔡英文', 2), ('蕭美琴', 2), ('蔣根煌', 2), ('洪玉玲', 2), ('久一康', 2), ('歐陽金福', 2), ('邱光明', 2), ('謝恩', 2), ('許富凱', 2), ('羅志祥', 2), ('楊乃文', 2), ('鄭深池', 1), ('莊玉輝', 1), ('周宗維', 1), ('李文政', 1), ('杜金泉', 1), ('劉郁芬', 1), ('林秀貞', 1), ('登山健行', 1), ('陳祥麟', 1), ('孫麗琪', 1), ('黃雅芬', 1), ('董燊', 1), ('林啓良', 1), ('林啓', 1), ('王政雄', 1), ('李玖芳', 1), ('李誠勇', 1), ('李胤澤', 1), ('吳俊育', 1), ('吳哲瑋', 1), ('林惠婷', 1), ('林立洋', 1), ('張庭語', 1), ('許凱凌', 1), ('陳逸偉', 1), ('陳葳', 1), ('陳至人', 1), ('盛莉', 1), ('郭晉元', 1), ('蔡百里', 1), ('鄧維仁', 1), ('莊伯尹', 1), ('彭啓明', 1), ('瑪禡', 1), ('雅妲', 1), ('伯公', 1), ('石虎', 1), ('喬茵', 1), ('張博洋', 1), ('葉姓', 1), ('葉淑綢', 1), ('張旗聞', 1), ('章梁', 1), ('大甲媽祖鑾', 1), ('蔡易餘', 1), ('陳冠廷', 1), ('葉孟龍', 1), ('顏清', 1), ('甲媽祖', 1), ('杜微', 1), ('伍勝園', 1), ('林佳緯', 1), ('玉木朋孝', 1), ('曾俊傑', 1), ('何權峰', 1), ('平子雄一', 1), ('邱佩琳', 1), ('林孟弘', 1), ('陳淑蘭', 1), ('周二', 1), ('黃萬益', 1), ('謝淑亞', 1), ('彭博', 1), ('uhle', 1), ('葉昭甫', 1), ('謝建國', 1), ('王田', 1), ('吳郭魚苗', 1), ('彥隆', 1)]"
生活,"[('川普', 18), ('彭天恩', 9), ('曹汶龍', 8), ('彭啓明', 7), ('布丁', 7), ('陳華', 7), ('鄒子廉', 6), ('傑米', 6), ('吳德榮', 5), ('劉林義', 5), ('金城武', 5), ('李茂盛', 4), ('邱益煊', 4), ('黃金舜', 4), ('鄭麗君', 4), ('蔡秀彬', 4), ('黃彗倫', 4), ('歐宗學', 4), ('賀瓏', 4), ('林莉茹', 4), ('星曜', 4), ('馬克', 4), ('湯姆熊', 4), ('林明健', 4), ('李鎮源', 4), ('余美靜', 3), ('周慶明', 3), ('曾淑慧', 3), ('謝采蓓', 3), ('曾俊傑', 3), ('歐文·庫柏', 3), ('蓋茲', 3), ('王雅涵', 3), ('王宏育', 3), ('潘忠韋', 3), ('吳貞瑩', 3), ('張維宏', 3), ('黃馨慧', 3), ('王郁茗', 2), ('黃維琛', 2), ('張克士', 2), ('蔡淑鳳', 2), ('龐一鳴', 2), ('清明', 2), ('陳其邁', 2), ('蕭世典', 2), ('張允中', 2), ('邱泰源', 2), ('羅一鈞', 2), ('布萊妮', 2), ('艾琳·多爾蒂', 2), ('Dcard', 2), ('蘇萊曼', 2), ('黃子佼', 2), ('PO', 2), ('王署君', 2), ('陳亮', 2), ('吳奎彥', 2), ('威士忌', 2), ('陳慧玲', 2), ('胡忠一', 2), ('劉鎭鎬', 2), ('郭璇', 2), ('蔡淳光', 2), ('陳宇欽', 2), ('方俊凱', 2), ('邱昱棋', 2), ('陳昀', 2), ('Natasha', 2), ('吳孟興', 2), ('曾琬', 2), ('黃偉哲', 2), ('陳皇宇', 2), ('戴國榮', 2), ('吳麥斯', 1), ('格婷娜', 1), ('劉紋伶', 1), ('李健', 1), ('李健鴻', 1), ('張志堅', 1), ('克士', 1), ('黃育文', 1), ('林雅惠', 1), ('姜冠宇', 1), ('李沐', 1), ('林映唯', 1), ('詹子萱', 1), ('elinda Wang', 1), ('李心潔', 1), ('宗學', 1), ('彭啓明重', 1), ('黃定宏', 1), ('楊梅區', 1), ('湯鎮瑋', 1), ('周日', 1), ('蘇俊賓', 1), ('宮崎駿', 1), ('冉琪', 1), ('沈采穎', 1), ('林憶君', 1), ('楊仁', 1), ('陳其', 1), ('Gogoro', 1), ('SHIHO', 1), ('陳世凱', 1), (' 組長', 1), ('64歲', 1), ('陳巧翊', 1), ('林聖峯（', 1), ('查理考克斯', 1), ('凱蒂', 1), ('菲利普·巴蘭', 1), ('琳多爾蒂', 1), ('查理', 1), ('奧斯卡影帝', 1), ('勞倫斯費許朋', 1), ('瑞秋布羅斯納安', 1), ('詹姆斯哈維斯', 1), ('馬利克', 1), ('賴清德', 1), ('郭雅慧', 1), ('卓榮泰', 1), ('愛情', 1), ('陳志璿', 1), ('林柏鈞', 1), ('陳昱蓉', 1), ('比爾．蓋茲（Bill Gates', 1), ('魯克斯', 1), ('高通', 1), ('朴庶海陸', 1), ('湯姆', 1), ('湯姆貝貝', 1), ('書珩', 1), ('秋下雅弘', 1), ('林奇宏', 1), ('司徒惠康', 1), ('北榮', 1), ('陳威明', 1), ('陳亮恭', 1), ('高允貞', 1), ('姜有錫', 1), ('申詩雅', 1), ('馬拉松', 1), ('吳奎', 1), ('杜聰明', 1), ('林得恩', 1), ('廖育瑋', 1), ('白瑜', 1), (' ☛', 1), ('明哲保身', 1), ('亞洲', 1), ('陳冠義', 1), ('王得吉', 1), ('米克斯', 1), ('水仙', 1), ('饒煥美', 1), ('ndis ', 1), ('吳長智', 1), ('潘忠', 1), ('洪淑惠', 1), ('黃馨', 1), ('占卜', 1), ('陳奕成', 1), ('賴家仁', 1), ('芮薇荷', 1), ('蔡玲儀', 1), ('20世紀初英文', 1), ('三枚Calatrava腕', 1), ('琺瑯', 1), ('塞凡提斯', 1), ('Cervantes', 1), ('唐吉訶德', 1), ('文豪儒勒凡爾納', 1), ('陳漫', 1), ('城武', 1), ('劉青雲', 1), ('古天樂', 1), ('梁家輝', 1), ('高圓', 1), ('男神', 1)]"
全部,"[('川普', 704), ('▪川普', 58), ('林岱樺', 44), ('貝森特', 42), ('尹錫悅', 38), ('普亭', 33), ('李成', 30), ('習近平', 24), ('毛澤東', 24), ('林弘文', 23), ('周忠信', 22), ('澤倫斯基', 21), ('馬斯克', 21), ('威科夫', 20), ('譚艾珍', 16), ('邱男', 15), ('陳斌華', 15), ('尹錫', 14), ('赫塞斯', 14), ('彭博', 14), ('桑切斯', 13), ('李延賀', 12), ('亞馬遜', 12), ('齊惠生', 12), ('田朝益', 12), ('石破茂', 11), ('塞夫柯維奇', 11), ('德米崔耶夫', 11), ('毛寧', 11), ('釋煌智', 11), ('馬章浩', 11), ('孟晚舟', 11), ('趙駿亞', 11), ('陳錫卿', 11), ('王毅', 10), ('孫雯', 10), ('李強', 10), ('賴清德', 10), ('陳菊', 10), ('劉曉棕', 10), ('吳婉君', 10), ('郭男', 10), ('黃奕薫', 10), ('艾克曼', 9), ('湯普森', 9), ('林劍', 9), ('布朗', 9), ('陳男', 9), ('凱洛格', 9), ('卓榮泰', 9), ('鄭麗君', 9), ('東凡', 9), ('李男', 9), ('東風', 9), ('千千', 9), ('謝宜容', 9), ('孫福佑', 9), ('呂金鎧', 9), ('黃敏惠', 9), ('彭天恩', 9), ('清崎', 8), ('范斯', 8), ('塞拉沙', 8), ('施凱爾', 8), ('泰勒', 8), ('帕帕羅', 8), ('凱恩', 8), ('馬家駿', 8), ('宋兆普', 8), ('張軍', 8), ('米倫', 8), ('葉琳瑯', 8), ('普拉伯沃', 8), ('蔡學良', 8), ('李丞齡', 8), ('毛畯珅', 8), ('秦偉', 8), ('彭啓明', 8), ('林孟諭', 8), ('曹汶龍', 8), ('盧比歐', 7), ('達斯', 7), ('柯建銘', 7), ('馬拉松', 7), ('林岱融', 7), ('林明佐', 7), ('陳政谷', 7), ('蔣萬安', 7), ('鄧麗君', 7), ('布丁', 7), ('陳華', 7), ('布魯斯', 6), ('韓宗熙', 6), ('蘭格恩', 6), ('魯蕾', 6), ('巴林傑', 6), ('克瑞布斯', 6), ('阿洛克', 6), ('亞德葛瑞', 6), ('李義虎', 6), ('鄭宗儀', 6), ('蔡正亮', 6), ('梁振英', 6), ('李吳永勤', 6), ('許男', 6), ('賴清美', 6), ('吳郭魚', 6), ('黃奕薰', 6), ('張麗善', 6), ('柳采葳', 6), ('顏若芳', 6), ('陳宏宗', 6), ('李瑋哲', 6), ('鄒子廉', 6), ('傑米', 6), ('石破茂通', 5), ('王世杰', 5), ('鮑爾', 5), ('費雷拉', 5), ('戴蒙', 5), ('梅爾茨', 5), ('卡列琳娜', 5), ('張育成', 5), ('吳思瑤', 5), ('蕭旭岑', 5), ('金偉明', 5), ('張男', 5), ('尤瑞敏', 5), ('姜男', 5), ('賴重宇', 5), ('黃子佼', 5), ('黃偉哲', 5), ('侯友宜', 5), ('蘇瑞文', 5), ('張瑞琿', 5), ('黃建賓', 5), ('郭智輝', 5), ('吳德榮', 5), ('劉林義', 5), ('金城武', 5), ('金哈克曼', 4), ('柯瑞斯汀', 4), ('さん', 4), ('馬克宏', 4), ('莫迪', 4), ('尤里爾', 4), ('諾帕吉', 4), ('大阪世博', 4), ('Fed', 4), ('吉爾', 4), ('彼卓夫', 4), ('哈賽亞', 4), ('凱莉', 4), ('赫格塞斯', 4), ('林三郎', 4), ('吉德敏', 4), ('佩斯科夫', 4), ('林俊言', 4), ('鄭永年', 4), ('徐志濤', 4), ('傅崐萁', 4), ('李慧芝', 4), ('柳允進', 4), ('鄭柵潔', 4), ('吳宗憲', 4), ('微博', 4), ('伯伯', 4), ('堯斌', 4), ('郭俊峯', 4), ('蔡英文', 4), ('蕭美琴', 4), ('洪正威', 4), ('孟姓', 4), ('尤肖虎', 4), ('李振育', 4), ('陳文豪', 4), ('馬英九', 4), ('葉君璋', 4), ('陳志杰', 4), ('楊男', 4), ('謝男', 4), ('呂姓', 4), ('張嘉恩', 4), ('黃偉軒', 4), ('林秉文', 4), ('郭哲敏', 4), ('劉煥榮', 4), ('蔡男', 4), ('李文良', 4), ('曾俊傑', 4), ('陳淑芳', 4), ('侯彥隆', 4), ('林英煌', 4), ('張道周', 4), ('張修銘', 4), ('宋德仁', 4), ('陳其邁', 4), ('趙怡翔', 4), ('張振錫', 4), ('張景森', 4)]"
