category,top_keys
全球,"[('關稅', 179), ('美國', 160), ('川普', 133), ('全球', 83), ('南韓', 83), ('台灣', 80), ('中國', 71), ('總統', 60), ('汽車', 47), ('緬甸', 46), ('日本', 43), ('國家', 39), ('三星', 38), ('公司', 37), ('政府', 36), ('曼谷', 36), ('經濟', 34), ('貿易', 31), ('晶片', 29), ('話題', 28), ('泰國', 27), ('官員', 25), ('尹錫悅', 25), ('地震', 24), ('歐盟', 23), ('澳洲', 22), ('時間', 22), ('大樓', 22), ('市場', 21), ('企業', 19), ('強震', 19), ('烏克蘭', 18), ('俄羅斯', 18), ('專家', 18), ('措施', 18), ('網路', 18), ('情況', 18), ('科技', 17), ('貝東塔', 17), ('產品', 17), ('協議', 17), ('政治', 16), ('大陸', 16), ('亞洲', 16), ('指數', 16), ('計畫', 15), ('規模', 15), ('目的', 15), ('機場', 15), ('台北', 15), ('直升機', 15), ('北京', 15), ('北韓', 14), ('當地', 14), ('記者', 14), ('政策', 13), ('畫面', 13), ('世界', 13), ('消息', 13), ('野火', 13), ('產業', 13), ('雲南', 13), ('態度', 13), ('戰爭', 12), ('俄烏', 12), ('投資人', 12), ('國會', 12), ('衝擊', 12), ('羽田', 12), ('城市', 12), ('韓國', 12), ('台積電', 11), ('戰略', 11), ('媒體', 11), ('影響', 11), ('社會', 11), ('台積', 11), ('風險', 11), ('援助', 11), ('普亭恐', 11), ('母親', 11), ('頁報', 11), ('背後', 11), ('當局', 10), ('電子', 10), ('機構', 10), ('肖像畫', 10), ('平台', 10), ('國際', 10), ('通訊', 10), ('關西', 10), ('業務', 10), ('問題', 10), ('價格', 10), ('人道', 10), ('言論', 10), ('主義', 10), ('糧食', 10), ('儀式', 9), ('清崎', 9)]"
兩岸,"[('中國', 140), ('大陸', 123), ('美國', 91), ('關稅', 49), ('企業', 47), ('國家', 45), ('台灣', 44), ('問題', 37), ('經濟', 33), ('川普', 29), ('市場', 28), ('西藏', 27), ('政策', 26), ('國際', 26), ('政府', 24), ('工作', 23), ('文化', 19), ('全球', 19), ('總統', 18), ('兩岸', 18), ('代表', 17), ('消息', 17), ('澳洲', 17), ('條件', 16), ('世界', 16), ('陸委會', 16), ('論壇', 16), ('價格', 15), ('措施', 15), ('晶片', 15), ('陳斌華', 15), ('官方', 14), ('貿易', 14), ('中共', 14), ('學校', 14), ('富察', 14), ('李延賀', 14), ('期間', 13), ('關係', 13), ('北京', 13), ('會議', 13), ('社會', 13), ('國台辦', 13), ('人士', 13), ('領域', 12), ('方面', 12), ('公司', 11), ('情況', 11), ('外資', 11), ('產業', 11), ('白皮書', 11), ('科技', 10), ('報告', 10), ('媒體', 10), ('中心', 10), ('國內', 10), ('金融', 10), ('行動', 10), ('人員', 10), ('八旗', 10), ('權利', 10), ('規定', 10), ('學生', 10), ('海域', 10), ('軍演', 10), ('國際法', 10), ('港口', 10), ('張軍', 10), ('模式', 9), ('上海', 9), ('方式', 9), ('製造業', 9), ('目標', 9), ('物價', 9), ('指數', 9), ('政治', 9), ('環境', 9), ('孩子', 9), ('台獨', 9), ('記者', 9), ('香港', 9), ('警方', 9), ('協議', 9), ('宗教', 9), ('競爭', 8), ('交易', 8), ('教育', 8), ('產品', 8), ('家長', 8), ('家屬', 8), ('武力', 8), ('海外', 8), ('商務部', 8), ('方法', 7), ('主義', 7), ('區域', 7), ('業務', 7), ('內容', 7), ('文章', 7), ('能力', 7)]"
社會,"[('警方', 40), ('男子', 28), ('法官', 26), ('地檢署', 25), ('檢察官', 22), ('檢方', 22), ('現場', 21), ('台中', 18), ('案件', 17), ('國家', 17), ('人員', 17), ('美國', 16), ('行為', 14), ('被告', 14), ('專線', 14), ('蘇男', 14), ('象龜', 14), ('法院', 13), ('創意', 13), ('學生', 12), ('私房', 12), ('會員', 12), ('條例', 11), ('單位', 11), ('行人', 11), ('規定', 11), ('地院', 11), ('期間', 10), ('趙駿亞', 10), ('蔡學良', 10), ('醫院', 10), ('生命', 10), ('台北', 10), ('陳女', 10), ('葉女', 10), ('女子', 9), ('影像', 9), ('罪嫌', 9), ('餐廳', 9), ('吳婉君', 9), ('公司', 9), ('陳姓', 9), ('轎車', 9), ('陳男', 9), ('台東', 9), ('資料', 9), ('謝宜容', 9), ('桃園', 8), ('彰化縣', 8), ('科技', 8), ('黃男', 8), ('原因', 8), ('媒體', 8), ('公務', 8), ('妻子', 8), ('高院', 8), ('川普', 8), ('分局', 7), ('徒刑', 7), ('監視器', 7), ('台灣', 7), ('地方', 7), ('立法院', 7), ('林明佐', 7), ('方式', 7), ('證人', 7), ('員工', 7), ('對話', 7), ('關稅', 7), ('電纜線', 7), ('機車', 6), ('員警', 6), ('彰化', 6), ('調查局', 6), ('黃姓', 6), ('職務', 6), ('檢察署', 6), ('立院', 6), ('集團', 6), ('陳政谷', 6), ('尤瑞敏', 6), ('中國', 6), ('時間', 6), ('合議庭', 6), ('同學', 6), ('消防局', 6), ('賴重宇', 6), ('人夫', 6), ('機會', 6), ('劉男', 6), ('工程', 6), ('許男', 6), ('竹聯幫', 5), ('桃園市', 5), ('小孩', 5), ('犯行', 5), ('交通', 5), ('法務部', 5), ('台中市', 5), ('警分局', 5)]"
地方,"[('美國', 30), ('民眾', 28), ('市場', 26), ('台灣', 19), ('社區', 19), ('縣府', 19), ('市府', 18), ('台中', 17), ('中心', 17), ('公司', 17), ('工程', 16), ('農民', 16), ('國際', 16), ('社會', 16), ('掩埋場', 16), ('計畫', 15), ('農會', 15), ('青年', 15), ('芒果', 14), ('空間', 13), ('活動', 13), ('媽祖', 13), ('桃園', 13), ('環境', 13), ('步道', 13), ('文化', 12), ('垃圾', 12), ('網友', 12), ('川普', 12), ('票價', 12), ('產業', 11), ('地方', 11), ('台鐵', 11), ('周邊', 11), ('海軍', 10), ('土地', 10), ('業者', 10), ('問題', 10), ('運動', 10), ('經費', 10), ('麻疹', 10), ('關稅', 10), ('大埔路', 10), ('桃園市', 9), ('政策', 9), ('智慧', 9), ('婦女', 9), ('期間', 9), ('行人', 9), ('中央', 9), ('環保局', 9), ('措施', 9), ('列車', 9), ('工廠', 9), ('企業', 9), ('貿易', 9), ('學生', 8), ('台北', 8), ('代表', 8), ('學員', 8), ('老師', 8), ('課程', 8), ('現場', 8), ('障礙', 8), ('政府', 8), ('道路', 8), ('居民', 8), ('動物', 8), ('燈塔', 8), ('指數', 8), ('基隆', 8), ('巴士', 8), ('市長', 7), ('信眾', 7), ('藝術', 7), ('北港', 7), ('全球', 7), ('單位', 7), ('時間', 7), ('城市', 7), ('人行道', 7), ('市議員', 7), ('衛生局', 7), ('影響', 7), ('獵具', 7), ('金融', 7), ('捷運', 7), ('國小', 7), ('巨蛋', 7), ('縣長', 7), ('金蜜', 7), ('幼果', 7), ('新港鄉', 7), ('漲幅', 7), ('火鍋店', 7), ('中興路', 7), ('地區', 6), ('廠商', 6), ('夥伴', 6), ('市民', 6)]"
生活,"[('台灣', 51), ('民眾', 27), ('女子', 27), ('醫院', 26), ('市場', 24), ('地區', 21), ('關稅', 21), ('工作', 20), ('問題', 20), ('川普', 20), ('貓咪', 20), ('衛福部', 19), ('垃圾', 19), ('生活', 18), ('計畫', 17), ('疫苗', 17), ('藥品', 17), ('全球', 16), ('流感', 16), ('環境', 16), ('效期', 16), ('肺癌', 16), ('活動', 15), ('中心', 15), ('患者', 15), ('天氣', 15), ('組合', 15), ('公司', 14), ('機會', 14), ('職場', 14), ('政策', 14), ('風險', 14), ('時間', 14), ('疫情', 14), ('機制', 14), ('觀察員', 14), ('產業', 13), ('國際', 13), ('空氣', 13), ('品質', 13), ('影響', 13), ('勞工', 13), ('健保署', 13), ('氣溫', 13), ('洗衣袋', 13), ('宮位', 13), ('星曜', 13), ('能力', 12), ('疾病', 12), ('變化', 12), ('孩子', 12), ('措施', 12), ('時段', 12), ('財富', 12), ('中藥', 12), ('台股', 12), ('鯨豚', 12), ('煞星', 12), ('方式', 11), ('時候', 11), ('條件', 11), ('期間', 11), ('產品', 11), ('人員', 11), ('健保', 11), ('藥師', 11), ('單位', 11), ('廠商', 11), ('疾管署', 11), ('資格', 11), ('醫學', 10), ('個案', 10), ('國內', 10), ('範圍', 10), ('陶瓷', 10), ('機場', 10), ('主星', 10), ('經驗', 9), ('內容', 9), ('癌症', 9), ('消費', 9), ('商品', 9), ('資料', 9), ('公會', 9), ('政府', 9), ('地方', 9), ('飲料', 9), ('交通', 9), ('焚化爐', 9), ('朋友', 9), ('彭天恩', 9), ('交通部', 9), ('人才', 8), ('大學', 8), ('醫師', 8), ('網友', 8), ('狀況', 8), ('經濟', 8), ('需求', 8), ('家庭', 8)]"
全部,"[('美國', 304), ('關稅', 266), ('中國', 219), ('川普', 202), ('台灣', 201), ('大陸', 145), ('全球', 126), ('國家', 108), ('市場', 100), ('公司', 88), ('總統', 86), ('南韓', 85), ('經濟', 82), ('問題', 80), ('政府', 79), ('企業', 79), ('民眾', 70), ('國際', 66), ('政策', 62), ('日本', 60), ('貿易', 56), ('時間', 54), ('措施', 54), ('汽車', 53), ('工作', 52), ('警方', 51), ('計畫', 50), ('人員', 50), ('期間', 49), ('社會', 48), ('產業', 48), ('緬甸', 47), ('晶片', 44), ('中心', 44), ('科技', 42), ('醫院', 41), ('世界', 40), ('台北', 40), ('澳洲', 39), ('價格', 39), ('女子', 39), ('環境', 39), ('方式', 38), ('影響', 38), ('三星', 38), ('產品', 38), ('台中', 38), ('活動', 37), ('地方', 37), ('情況', 37), ('學生', 37), ('生活', 36), ('曼谷', 36), ('現場', 36), ('文化', 35), ('風險', 35), ('地區', 35), ('話題', 34), ('條件', 34), ('消息', 34), ('內容', 34), ('網友', 34), ('代表', 34), ('工程', 34), ('網路', 33), ('單位', 33), ('指數', 33), ('關係', 32), ('媒體', 31), ('規定', 31), ('法官', 31), ('垃圾', 31), ('專家', 30), ('能力', 30), ('人士', 30), ('國內', 30), ('業務', 30), ('男子', 30), ('衝擊', 29), ('原因', 29), ('北京', 29), ('資料', 29), ('機會', 29), ('官員', 28), ('行為', 28), ('協議', 28), ('泰國', 27), ('記者', 27), ('桃園', 27), ('西藏', 27), ('股市', 26), ('投資人', 26), ('政治', 26), ('大樓', 26), ('地檢署', 26), ('行人', 26), ('中共', 25), ('機場', 25), ('狀況', 25), ('尹錫悅', 25)]"
